K,Silhouette Score,Davies-Bouldin Index,Inertia
2,0.7796356036473295,1.764655371370242,669925.3308205736
3,0.7389096574133972,1.2319373025347635,606134.9449787033
4,0.3607280797826488,1.2998967151329541,578615.9334428888
5,0.28090743803134527,2.0126601998498503,553992.2170438524
6,0.33517262169900863,1.8034379255098851,531831.7071893029
7,0.2049197885422862,1.954900530780026,518607.15389255213
8,0.20566379007330626,1.760797776329559,505163.15613831335
