Model,Accuracy,Precision,Recall,F1,ROC_AUC,F1_change_vs_baseline
Gradient Boosting (Phase 3 baseline),0.7980074719800747,0.811704834605598,0.920967159870083,0.8628909551986476,0.8545873313521648,0.0
Gradient Boosting (tuned),0.8022415940224159,0.8202137998056366,0.9137495488993144,0.8644588596790713,0.858265034852242,0.0015679044804237652
