Model,Accuracy,Precision,Recall,F1,ROC_AUC
Gradient Boosting (tuned),0.8022415940224159,0.8202137998056366,0.9137495488993144,0.8644588596790713,0.858265034852242
Gradient Boosting,0.7980074719800747,0.811704834605598,0.920967159870083,0.8628909551986476,0.8545873313521648
Random Forest,0.7945205479452054,0.8050156739811912,0.926741248646698,0.8616004026170105,0.8535743129635024
Logistic Regression,0.7967621419676214,0.8227137669197755,0.899314326957777,0.8593103448275862,0.844749855241645
ANN (256-128-64),0.7885429638854297,0.8190571049136787,0.8902923132443161,0.8531903856130036,0.8425253921820045
