Model,Accuracy,Precision,Recall,F1,ROC_AUC
Gradient Boosting (Baseline),0.7980074719800747,0.811704834605598,0.920967159870083,0.8628909551986476,0.8545873313521648
ANN (256-128-64),0.7885429638854297,0.8190571049136787,0.8902923132443161,0.8531903856130036,0.8425253921820045
