Model,Accuracy,Precision,Recall,F1,ROC_AUC
Gradient Boosting,0.7980074719800747,0.811704834605598,0.920967159870083,0.8628909551986476,0.8545873313521648
Random Forest,0.7945205479452054,0.8050156739811912,0.9267412486466979,0.8616004026170105,0.8535743129635024
Logistic Regression,0.7967621419676214,0.8227137669197755,0.899314326957777,0.8593103448275862,0.844749855241645
