idquest,cluster,target
11112100401.0,0,0
11112100601.0,0,0
11112100801.0,0,1
11112100901.0,0,1
11112101001.0,0,1
11112101301.0,0,0
11112101401.0,0,1
11112101501.0,0,1
11112101601.0,0,1
11112101701.0,0,1
11112102001.0,0,0
11112102101.0,0,1
11112102301.0,0,0
11112102401.0,0,0
11112102501.0,0,0
11112102701.0,0,1
11112200101.0,0,1
11112200501.0,0,1
11112200701.0,0,1
11112200801.0,0,0
11112201001.0,0,1
11112201002.0,0,1
11112201201.0,0,1
11112201301.0,0,1
11112201401.0,0,1
11112201501.0,0,1
11112201601.0,0,0
11112201901.0,0,1
11112202001.0,0,1
11112202101.0,0,1
11112202201.0,0,1
11112202301.0,0,1
11112202401.0,0,1
11112202501.0,0,1
11112202601.0,0,1
11112202701.0,0,1
11112202801.0,0,1
11112203001.0,0,1
11112203101.0,0,0
11112203601.0,0,1
11112203602.0,0,1
11112203701.0,0,0
11112204001.0,0,1
11112204501.0,0,1
11112300101.0,0,0
11112300201.0,0,1
11112300301.0,0,1
11112300401.0,0,1
11112300701.0,0,1
11112300801.0,0,0
11112301101.0,0,0
11112301201.0,0,1
11112301301.0,0,1
11112301401.0,0,1
11112301501.0,0,0
11112301601.0,0,1
11112301701.0,0,1
11112302201.0,0,1
11112302301.0,0,1
11112302401.0,0,1
11112302402.0,0,0
11112302501.0,0,1
11112302601.0,0,1
11112302701.0,0,1
11112400101.0,0,1
11112400301.0,0,0
11112400401.0,0,0
11112400701.0,0,1
11112401101.0,0,1
11112401201.0,0,1
11112401301.0,0,1
11112401501.0,0,1
11112401601.0,0,1
11112401701.0,0,1
11112402001.0,0,1
11112402201.0,0,1
11112402301.0,0,1
11112402501.0,0,1
11112402601.0,0,1
11112402701.0,0,1
11112402901.0,0,1
11112403001.0,0,1
11112403101.0,0,1
11112403201.0,0,1
11112403301.0,0,1
11410100502.0,0,0
11410101101.0,0,0
11410102101.0,0,0
11410102401.0,0,0
11410102901.0,0,1
11410103001.0,0,0
11410103301.0,0,1
11410103601.0,0,0
11410200301.0,0,0
11410200401.0,0,0
11410200501.0,0,0
11410200701.0,0,0
11410201101.0,0,0
11410201201.0,0,1
11410201301.0,0,0
11410201601.0,0,1
11410201701.0,0,0
11410202301.0,0,1
11410202401.0,0,0
11410202501.0,0,0
11410202901.0,0,0
11410203101.0,0,1
11410203601.0,0,1
11410203801.0,0,1
11410203802.0,0,0
11410203901.0,0,0
11410204201.0,0,1
11410204301.0,0,0
11410204601.0,0,1
11410205101.0,0,1
11410205301.0,0,1
11410301401.0,0,0
11410302203.0,0,1
11410302401.0,0,1
11410302801.0,0,1
